name,ingredients,text
Сырные чипсы из лаваша,"['Лаваш', 'Зелень', 'Сыр твердый', 'Масло оливковое', 'Соль', 'Перец черный']","Придаем форму чипсам (руками или ножом). Сыр натереть на мелкой терке. Зелень мелко нарубить (укроп, петрушка), смешать с оливковым маслом, добавить соль, перец по вкусу. По желанию добавить сушеную зелень, например базилик, прованские травы... Каждый кусочек обвалять в зеленой массе. Выложить чипсы на сухой противень. Посыпать тертым сыром. Отправить в разогретую духовку до 180 градусов примерно на 7-8 минут. Ваша закуска готова."
Французский сырный хлеб на пшеничной закваске,"['Закваска', 'Мука пшеничная', 'Сахар', 'Вода', 'Соль', 'Масло сливочное', 'Сыр полутвердый']","Вот моя закваска из холодильника http://www.povarenok .ru/recipes/show/546 60/ Подкармливаем закваску мукой и водой И оставляем на ночь (10-12 часов) накрыв крышкой с с отверстиями или целлофаном (можно пищ. плёнкой). Я ставлю в духовку со включённой лампой без нагрева, потом перед сном выключаю. Закваска утром пузыристая Добавляем сахар, соль, масло и перемешиваем + просеянную муку, Натёртый сыр и перемешиваем, постепенно добавляя воду. Если нужно, домешиваем ещё муки на столе. Мешу тесто минут 10 руками, если пользуетесь хлебопечкой, можно там месить или миксером (но у меня миксер не берёт такое тесто). Оно мягкое, густое и эластичное Собираем в шар, Убираем в чашку под плёнку и оставляем подходить примерно на час Подошедшее тесто поднялось в 1.5 раза Выкладываем тесто в смазанную маслом форму и накрываем плёнкой, оставляем на последнюю расстойку. Почему-то нет фото, где я выкладывала тесто в большую форму. Это фото с последующей готовки мини-хлеба с сыром. Просто показываю, что после последней расстойки тесто резко поднимается Вот так! Последняя расстойка может длиться по-разному от 2 до 5 часов, в зависимости от температуры помещения, размеров изделий и закваски, которую вы используете. Большой хлеб стоял около 5 часов и в конце так же резко ""вырос""! В разогретую до 200гр. духовку ставим противень с горячей водой в самый низ, на среднюю полку - хлеб. Опять же, не могу понять, куда делись фото с ""большим"" хлебом, давно делала, куда-то пропали... Печём 20-25 минут. Это мини-хлебушки А это большой хлеб! (сбоку уже нет ломтика - я не удержалась перед ароматом горячего хлеба!!!) Вот аппетитный разрез... А мини-хлебушки мне ещё больше нравятся, красавчики! Вот тоже разрезик И поближе Хлеб чуть плотнее, чем магазинный на дрожжах, но мягкий и пористый, с хрустящей корочкой Ещё я делала последний раз булочки с сыром на закваске, сыр вдобавок сверху тёрла К борщу вместо пампушек! Bon appetit!"
"Закуска ""Проглоти язык""","['Скумбрия', 'Яйцо куриное', 'Шампиньоны', 'Лук репчатый', 'Петрушка', 'Чеснок', 'Сметана', 'Лук зеленый']","Из рыбы удаляем кости, мелко режем. Яйца тоже мелко рубим. На растительном масле обжариваем лук, чеснок и порезанные грибы. Продукты смешиваем, вводим сметану, тщательно перемешиваем. При подаче посыпать мелко рубленной зеленью лука. Приятного аппетита!!!"
"Пирог ""Фруктовый рай""","['Мука пшеничная', 'Смесь порошковая', 'Ванильный сахар', 'Масло сливочное', 'Молоко', 'Яйцо куриное', 'Сахар', 'Соль', 'Желток яичный', 'Масло растительное', 'Яблоко', 'Ягода', 'Творог', 'Белок яичный']","1. Приготовим дрожжевое тесто. Смешать 1 пакетик сухой смеси ""Дрожжевое тесто"" с просеянной мукой. Добавить ванильный сахар и щепотку соли, перемешать. 2. Сахар растереть с мягким маслом, добавить молоко и 1 яйцо, перемешать венчиком. 3. В жидкую смесь вмешать частями мучную смесь, вымесить гладкое не липнущее к рукам тесто. Смазать миску растительным маслом, положить тесто и накрыть пленкой, поставить в сторону. 4. Приготовим яблочную начинку. Яблоки очистить от кожуры, семечек и порезать маленькими кубиками. В сковороде разогреть сливочное масло и добавить сахар. Довести сахар до расплавления и добавить яблоки, тушить до полуготовности. 5. Приготовим творожную начинку. Смешать творог с белком, сахаром и ванильным сахаром. 6. Тесто за время приготовления начинки увеличилось в 2 раза, это буквально где то 15-20 минут. 7. Выкладываем тесто на припыленную столешницу, обминаем и делим на 8 частей. Формируем шарики и накрываем их сухим полотенцем. 8. Раскатываем шарики теста по одному в круг, вырезаем чайным блюдцем кружочки. Обрезки теста убираем под полотенце. Кладем на кружок вначале 1 ст. л. яблок без сока, затем творог и смазываем край круга яблочным соком из сковороды. 9. Защипываем край кружочка, немного подкручиваем, переворачиваем и макаем низ булочки в муку. Застилаем форму (внут. ф=27 см) для выпечки силиконовым ковриком (не смазываем маслом) или бумагой для выпечки (смазываем). 10. Выкладываем булочки по кругу. Из обрезков теста формируем круг и кладем начинку. Последнюю булочку кладем в середину. Надрезаем каждую булочку сверху и добавляем по 1 ч. л. ягод. 11. Включаем духовку на минимальную температуру, 40 С и ставим противень на расстойку, минут на 15, до увеличения пирога в 2 раза. Затем переключаем духовку на 200 С, смазываем пирог взбитым желтком и выпекаем до румяной корочки, минут 20. Остывший пирог, можно посыпать сахарной пудрой и украсить посыпкой ""снежинки"". Приятного чаепития!"
"Картофель ""По-домашнему""","['Картофель', 'Лук репчатый', 'Чеснок', 'Зелень', 'Горчица', 'Хрен', 'Майонез', 'Кетчуп', 'Масло сливочное', 'Масло растительное', 'Соль', 'Перец черный', 'Приправа']","Необходимые ингредиенты. Приправки, которые можно добавить к вышеперечисленным. Или же те, что вы больше любите, все индивидуально. Картофель очистить, помыть, нарезать брусочками среднего размера. Луковицы очистить, нарезать кубиками. Заранее приготовим соус для заправки. В мисочку выкладываем майонез. Добавим мелко нарубленный чеснок. Хорошо перемешаем. Далее даем в майонез кетчуп, горчицу, хрен, перчим по вкусу, если необходимо солим. Все тщательно перемешиваем. Приправы, которые я добавила: паприка сладкая молотая; щепоть тмина, перетертого в ступке; чуть имбиря молотого; прованские травы; приправа для блюд из картофеля; молотые семена укропа. Перемешиваем, если майонез густой, можно разбавить небольшим количеством воды. Отставляем на время. Приступаем непосредственно к приготовлению картофеля: нарезанный лук обжарить в небольшом количестве растительного масла. Пока жарится лук, другую сковороду хорошо нагреваем с растительным маслом, выкладываем нарезанный и обсушенный картофель и обжариваем на максимальном огне 5 минут, часто перемешивая. Затем сделать в середине лунку, куда помещаем кусочек сливочного масла, жарим еще 5 минут. Смешать с жареным луком и жарить 5 минут. Форму для запекания слегка смазать маслом (совсем чуть-чуть), выложить картошку. Духовку включить и разогреть до 180 - 200 градусов. Заранее приготовленным соусом заливаем картофель. Ложкой раздвигая в нескольких местах, даем возможность майонезу просочиться внутрь. Запекать в духовке до готовности. У меня на это ушло 5-7 минут. Достать форму, перемешать (обязательно), и поставить еще на пару минут в выключенную, но горячую духовку. Подавать можно в качестве гарнира к мясу или рыбе, ... или как самостоятельное блюдо, с овощами, соленьями. Всем, кто соблазнится картошечкой ""по - домашнему"", желаю ПРИЯТНОГО АППЕТИТА!"
"Торт ""Черепаха""","['Рулет', 'Творог', 'Клубника', 'Сахар', 'Желатин', 'Сливки', 'Банан']","Сначала замачиваем желатин ( в холодной кипяченой воде на 40 минут). Затем прогреваем его на водяной воде и охлаждаем. Творог протираем через сито, добавляем сахар, размороженные ягоды, охлажденный желатин и все перемешиваем. Ставим минут на 20 в холодильник. Взбиваем сливки и добавляем в творожно-клубничную массу. Затем берем посуду круглой глубокой формы, выстилаем внутри пленкой и выкладываем нарезанные ломтики мини-рулетов. На них выкладываем творожную массу и выдерживаем в холодильнике не менее 3 -4 -х часов. Затем переворачиваем на блюдо, снимаем пленку и украшаем: из банана делаем ""голову"", ""лапки"", ""хвост"". ""Шляпка"" - зонтик для коктейлей, ""глазки"" - гвоздички, ""ротик"" - кожура редиса. Очень советую попробовать - оболденно вкусно!!!"
Гречнево-луковые рогалики,"['Крупа гречневая', 'Мука пшеничная', 'Дрожжи', 'Масло растительное', 'Сахар', 'Соль', 'Лук репчатый', 'Вода']","Подготавливаем продукты. Гречку перемолоть в муку. В чашку высыпаем соль, сахар, дрожжи. Добавляем стакан теплой воды. Оставляем на 10 минут. Затем добавляем 2 ст. л. растительного масла. Всыпаем гречневую муку. Хорошо перемешиваем. Добавляем просеянную пшеничную муку. Замешиваем тесто. Оставляем на 1 час, прикрыв полотенцем. Нарезаем лук. На разогретую сковороду наливаем 2 ст. л. растительного масла, выкладываем лук. Обжариваем до золотистого цвета. Остужаем. Наше тесто по прошествии часа. Делим на 2 части, так удобнее раскатывать. На рабочей поверхности раскатываем 1 часть теста лепешкой. Делим на треугольники, на каждый выкладываем обжаренный лук. Сворачиваем от края к центру, чтобы получился рогалик. Также поступаем со второй частью теста. Выкладываем рогалики на противень, застеленный пергаментом. Выпекаем 20-30 минут при 150-180 градусах. За 10 минут до окончания выпечки смазать желтком. Подаем! Угощаемся! Приятного аппетита! Христос Воскрес!"
"Горох по-монашески  со шпинатом ""garbansos de las monjas""","['Нут', 'Шпинат', 'Лук репчатый', 'Морковь', 'Картофель', 'Перец сладкий', 'Масло растительное', 'Чеснок', 'Хлеб', 'Яйцо куриное']","Сухой горох замачиваем на ночь. Замоченный горох обязательно засыпаем в горячую воду, иначе он будет твердый. Длительность варки - 1 час, однако в скороварке горох будет готов через 20 мин. Пока горох варится, готовим зажарку: лук, перец, морковь - обжариваем на растительном масле. Картофель и лук-порей нарезаем. В почти готовый горох добавляем картофель, овощи, шпинат. Для улучшения вкуса обжариваем на раст масле черствый хлеб, чеснок, толчем в ступке до однородной массы, разбавляем бульоном и вливаем в кипящий горох. Доводим блюдо до вкуса и оставляем накрытым 30 мин. Подавать с долькой вареного яйца или без него."
Запеканка творожная с бананом и изюмом,"['Творог', 'Яйцо куриное', 'Сахар', 'Крупа манная', 'Масло сливочное', 'Изюм', 'Банан', 'Соль']","Изюм промыть, залить горячей водой, чтобы стал мягким. Отделить белки от желтков, желтки взбить с сахаром до светлой пены. Сливочное масло растопить. В миске растереть творог, добавить к нему растопленное масло, взбитые с сахаром желтки и манку (или муку), тщательно вымешать. С изюма слить воду, смешать его с чайной ложкой манки и вмешать в тесто. Добавить нарезанный кружками банан. Белки взбить со щепоткой соли до крутой пены, выложить в тесто и аккуратно перемешать. В форму, смазанную жиром и обсыпанную сухарями или манкой, выложить творожное тесто. Сверху можно смазать 1 столовой ложкой сметаны. Печь в разогретой до 180 градусов духовке (у меня пеклась 40 минут). Если надо, верх можно прикрыть фольгой. Эта запеканка у меня практически никогда не оседает."
Човлент,"['Мясо', 'Фасоль', 'Крупа перловая', 'Лук репчатый', 'Морковь', 'Паприка сладкая', 'Томатная паста', 'Бульон', 'Соль', 'Перец черный', 'Чеснок', 'Петрушка']","Фасоль промыть, залить водой и оставить на 5-6 часов (я оставляла на ночь), а потом отварить в той же воде до мягкости. Перловку залить кипятком и сварить до полуготовности (у меня ушло где-то 15 минут). Лук нарезать кубиками, морковь - соломкой. Овощи спассеровать с добавлением паприки и томатной пасты (вот тут я так увлеклась процессом, что забыла сделать фотку) Мясо нарезать небольшими кусочками и обжарить на сале или растительном масле до готовности, хорошенько поперчить и посолить. Как я уже писала, я брала для этого рецепта говядину. Подойдет и свинина, будет интересно и с бараниной, но вкуснее всего човлент получается из копченого окорока или копченой грудинки, только массу копченостей надо уменьшить в 1,5-2 раза, т. е. на порцию примерно 100-130г Все компоненты готовы, начинаем складывать в горшочки: - перловка; - фасоль; - мясо; - пассерованные овощи. Заливаем бульоном и заправляем специями по вкусу. В качестве бульона можно использовать отвар от фасоли или перловки, можно залить просто водой с бульонным кубиком. Я, конечно же, с жидкостью пожадничала - залила по 1/2 ст на горшочек, надо бы больше - примерно по 1 ст - чтобы жидкость чуть покрывала верхний слой. Заключительный этап - мелконарезанный чесночек (по 1/2 зубчика на горшочек) и зелень петрушки (щедро)! Отправляем горшочки в разогретую духовку (180-200 градусов) на 10-15 минут. Готовый човлент подают в горшочке. А это я выложила човлент на тарелку, чтобы было видно, что оно таке на выгляд! :-) ""Ешьте човлент: от него и в пузе сытно и в штанах тепло!"" (из меню ужгородского ресторана «Деца у нотаря») :-D"
Чипсы из редиса,"['Редис', 'Масло подсолнечное', 'Соль', 'Перец черный', 'Порошок чесночный', 'Паприка сладкая']","Духовку включаем на разогрев t 160-170 градусов, противень застилаем пекарской бумагой. Редис натираем на тёрке-мандолине на тонкие ломтики. Приготовим смесь приправ для посыпки редиса: для этого смешаем молотый перец, молотую паприку, чесночный порошок и соль в небольшой мисочке. Выкладываем редис в один слой на подготовленный противень. Верх каждого ломтика смазываем подсолнечным маслом ТМ Олейна и присыпаем смесью приправ по вкусу. Ставим противень в духовку на 5-10 минут. В течении всего времени приготовления ВНИМАТЕЛЬНО следим, что бы редис не сгорел!!! Достаём из духовки противень с редисом, каждый ломтик переворачиваем, снова смазываем подсолнечным маслом, посыпаем приправами и отправляем в духовку ещё на 5-10 минут или до золотисто-коричневого цвета. Для большего хруста чипсы можно оставить в выключенной духовке с приоткрытой дверцей. Даём чипсам полностью остыть на противне, далее перекладываем их в подходящую посуду и подаём. Конечно, это не привычные чипсы, которые можно есть горстями... ... это деликатесный и более лёгкий вариант ""хрустиков"". Нам понравились чипсы в качестве топпинга для овощного салата. .. А в схожести с лепестками роз есть что-то утончённое! Приятного аппетита!"
"Мясо с овощами ""В рукаве""","['Мясо', 'Баклажан', 'Кабачок', 'Морковь', 'Картофель', 'Капуста цветная', 'Фасоль', 'Масло растительное', 'Специи']","1. Мясо мелко режем на кубики (примерно 2 х 2 см. Немного (!) посолить, поперчить и убрать в холодильник - минут на 20 (пока овощи будем подготавливать). 2. Кабачки, баклажаны и картофель тщательно моем и режем кубиками (примерно 4 х 4 см). Морковь моем, чистим и режем кружочками толщиной не более 1 см. 3. Подготовленные овощи складываем в большую кастрюлю (или миску), добавляем замороженные фасоль и цветную капусту и заправляем специями и растительным маслом. Я обычно использую ""Крошку Чеснок"" и овощную приправу ""Вегетта"" (если нет под рукой готовой приправы - использую соль, молотый перец, несколько зубчиков чеснока и красный перец). 4. Берем рукав для запекания, завязываем с одной стороны и аккуратно выкладываем овощи. 5. Достаем мясо из холодильника и перекладываем в овощи. 6. Завязываем пакет со второй стороны и очень аккуратно (чтобы не порвать пакет) перемешиваем, чтобы овощи и мясо равномерно распределились по пакету. 7. Укладываем пакет на противень, делаем несколько проколов и отправляем в предварительно разогретую до 180 -200 * духовку минут на 40 - 50. 8. Подать к столу со сметаной или зеленью. Несколько советов из личного опыта: - не обязательно использовать все компоненты, которые я перечислила: ведь не все любят так же сильно овощи, как и я. Пару раз готовила только с морковкой, картофелем и цветной капустой. Попробуйте добавить грибы, капусту брокколи и т. д. - то, что любите!!! - мясо можно использовать любое: свинину, ребрышки, курицу, крылья - что есть в холодильнике - очень важное: не пересолите! На указанное в описание количество овощей достаточно 2 ст. л. приправы (она итак с солью) - не переборщите также с растительным маслом - в данном случае масло нужно только чтобы к пакеты овощи не прилипали - когда будете резать овощи - выберите емкость побольше, т. к. очень МНОГО получается но это только на момент приготовления ; )"
Чихиртма,"['Баранина', 'Лук репчатый', 'Мука пшеничная', 'Яйцо куриное', 'Шафран', 'Уксус', 'Соль', 'Кинза', 'Перец черный']","Вот, что нам нужно. Отвариваем мясо на медленном огне и разделываем. Пока вариться мясо, мелко нарезаем лук, слегка обжариваем, посыпаем мукой, перемешиваем и обжариваем еще раз. Бульон процедить, положить в него мясо, обжаренный лук, шафран, соль, перец и дать закипеть, добавить уксус и кипятить еще 2мин., затем снять с огня. Яйца размешать венчиком и аккуратно добавить в горячий (но не кипящий) суп, размешать. Перед подачей посыпать кинзой."
Рёбра с картофелем в духовке,"['Ребра свиные', 'Картофель', 'Соус-маринад', 'Мед', 'Смесь перцев', 'Шафран', 'Паприка сладкая', 'Базилик', 'Масло оливковое', 'Перец чили', 'Соль']","Промыть рёбра. Обсушить. Сложить в подходящую ёмкость и приготовить маринад. Специи можно измельчить в ступке. Смешиваем все специи, кроме оливкового масла и хорошенько натираем ребра. Накрываем ёмкость крышкой. Оставляем на пару часов при комнатной температуре или убираем в холодильник на срок от 4 часов до нескольких суток. Хорошенько моем щёткой картофель. Разрезаем картофелины на дольки, промываем холодной водой и обсушиваем. Включаем разогрев духовки 180-200*. Выкладываем на противень, застеленный бумагой для выпечки рёбра, а картофель отправляем в ёмкость с соусом от рёбер. Добавляем оливковое масло и хорошенько обмазываем картофель соусом. Выкладываем дольки картофеля между рёбрышек. При желании кладём на противень несколько перчиков чили. Отправляем противень в разогретую духовку. Я запекала рёбра ничем не накрывая 50 минут. Через 40 минут они были абсолютно готовы, но я решила подержать их в духовке ещё немного, снизив температуру до 150*. Ориентируйтесь на Вашу духовку!!! Наше блюдо готово!!! Можно звать всех к столу!!! Приятного аппетита!!!"
Кулебяка с треской и рисом,"['Мука пшеничная', 'Вода', 'Молоко', 'Сахар', 'Соль', 'Дрожжи', 'Масло подсолнечное', 'Яйцо куриное', 'Рис', 'Треска', 'Лук репчатый', 'Сельдерей листовой', 'Перец красный жгучий']","Рис Басмати ТМ Мистраль. Ингредиенты для кулебяки - тесто дрожжевое, вареная треска, варенный рис Басмати, репчатый лук, перец молотый, соль... 200 г муки просеяла в миску, насыпала дрожжи, сахар, соль. Налила воду, молоко, масло и разбила яйцо. Хорошо перемешала и поставила в тёплое места для подъёма. Тёплое место в это время года - радиатор. Пока тесто подходило, я занималась начинкой. Треску разобрала и удалила кости. Лук спассеровала на масле, добавила соль и немного красного перца. Через 25 минут в тесто просеяла ещё 130 г муки и перемешала. Не стала ждать когда оно снова подойдёт и просеяла 120 г муки на стол для подсыпки. ( Делаю это тесто часто из одной и той же муки, но каждый раз муки добавляю по разному:+/- 10 - 30 г.) Вымесила тесто и разделила его на две части, побольше и меньше. Раскатала сначала меньшую часть и перенесла при помощи скалки на противень застеленный пергаментом. Разложила треску и листочки сельдерея. На рыбу выложила рис и на самый верх сочный лук. Раскатала вторую часть теста, ту, что больше и накрыла ей начинку. Края выровняла, чтобы начинка не была видна. Сделала вилкой проколы и поставила на 15 минут в духовку при t 70 градусов. Потом кулебяку вынула из духовки и смазала взбитым яйцом, в которое добавила 1 ч. л. масла. Кулебяку поставила в духовку. Температуру установила 180 градусов и выпекала кулебяку 35 минут. Готовую кулебяку накрыла влажной салфеткой и полотенцем. Нарезала и подала её на стол. Выпечка мягкая и начинка сочная. Подавала кулебяку с кофе и чаем. А я люблю с холодным молоком. Кулебяка получилась румяной и очень вкусной."
Блинный торт с карамельным соусом,"['Яйцо куриное', 'Мука пшеничная', 'Сода', 'Соль', 'Сахар', 'Масло растительное', 'Молоко', 'Ириски', 'Сливки']","Большинство из нас умеют и любят печь блины, у каждой хозяйки свой рецепт. Я не буду настаивать на своем, самом лучшем) Если вы опытная хозяйка, первые два шага можете пропустить и испечь блины по своему любимому рецепту. А для новичков от кулинарии могу предложить этот рецепт вкусных и тонких дырчатых блинов. Расчет дан на 10 тонких блинов диаметром 21-22 см. Итак, первым делом подогреваем молоко примерно до 40С, переливаем его в в глубокую емкость и добавляем яйцо, соль и сахар (если начинка будет несладкая, сахар не добавляйте). Взбиваем все при помощи миксера до воздушной пены. Муку просеиваем, добавляем в нее соду и, частями добавляем ее к молочной смеси, перемешивая кратко и на низкой скорости. Важно не взбивать долго блинную смесь после того, как добавили муку, за счет соды в тесте образуются пузырьки воздуха, которые затем и дадут очаровательные дырочки в наших блинах. Если тесто перемешивать долго, воздух уйдет из теста и оно станет тяжелым и плотным. Как только добились однородной структуры, выключайте миксер. А теперь влейте в тесто растительное масло без запаха - ваши блинчики будут легко отделяться от сковороды. Хорошо накалите сковороду и, чтобы первый блин не получился комом, налейте на нее 1-2 ч. л. растительного масла. Все, можно начинать выпекать блины. Для последующих блинов масло уже можно не наливать, оно есть в тесте. После того, как все блины испечены, возьмите самый толстый блинчик и положите его в смазанную маслом разъемную форму так, чтобы образовался небольшой бортик. Поставьте форму в духовку на 5-10 минут при 180-190С, чтобы блин подсох и хорошо держал форму. А мы тем временем займемся простейшим карамельным соусом - 20 ирисок положите в сотейник, поставьте на средний огонь и влейте молоко, нагрейте до кипения, постоянно перемешивая. Снимите с огня и охладите. Взбейте очень холодные сливки и, не выключая миксер, добавьте к ним загустевшую охлажденную карамель, перемешайте до однородности. Оставьте 2-3 ст. л. карамели, чтобы полить сверху готовый торт. На каждый блин равномерно нанесите по 2 ст. л. карамельного соуса, сверните блин гармошкой. И уложите по кругу, начиная от края формы Старайтесь, чтобы ажурные края блинчиков слегка выглядывали наружу, легкая небрежность в формовке торта придаст ему очарование и шарм. Переложите торт на блюдо, полейте отложенной карамелью и приятного аппетита!"
Грудка в чипсах,"['Грудка куриная', 'Сыр твердый', 'Петрушка', 'Яйцо куриное', 'Чипсы', 'Соль', 'Перец черный']","Грудки отбить, посолить и поперчить. Зелень порубить и выложить на мясо. Сверху натереть сыр на крупной терке. Грудки свернуть пополам, сформировать котлетки. Взбить яйца с небольшим количеством воды. Чипсы размять в крошку. Котлеты обмакнуть в яйцо и обвалять в чипсах. Обжарить на сковороде до золотистой корочки с двух сторон. Довести до готовности в духовом шкафу."
Конвертики с сырной начинкой,"['Лаваш', 'Сырок плавленый', 'Чеснок', 'Яйцо куриное', 'Масло сливочное', 'Петрушка']","Чеснок измельчить, смешать с сухой петрушкой. Плавленный сыр нарезать брусочками, каждый обмакнуть в смесь чеснока и петрушки. Листы лаваша нарезать на небольшие квадраты, приблизительно 10х10 см. Завернуть в них кусочки сыра. Яйцо взбить вилкой и обмакнуть в него подготовленные конвертики. Разогреть сковороду и растопить на ней кусочек сливочного масла. Обжарить конвертики с обеих сторон до румяной корочки."
Курочка под соусом Бешамель,"['Курица', 'Молоко', 'Бульон', 'Сыр твердый', 'Мука пшеничная', 'Маргарин', 'Яйцо куриное']","Для начала целиком отварим курицу. Затем оделим мясо от костей и кожицы. Когда будете отделять мясо от костей, старайтесь отделять сразу мелкими кусочками, так будет вкуснее. Отделённое нами мясо сложим в огнеупорную посуду (я посуду ничем не смазываю, так как ничего не прилипает). И оставим подождать. А сами займёмся соусом. Нальём масло в небольшую посуду и поставим нагревать его на огонь. Добавим туда муку и немного пережарим. Когда мука пережарится, введём в неё стакан холодного молока, а затем стакан куриного бульона, не забывая всё это энергично перемешивать, чтобы у нас получилась однородная масса без комков. Доводим до кипения и снимаем с огня. Даём немного остыть, чтобы потом яйцо не свернулось. Я всегда делаю так: пока наш почти готовый соус остывает, я натираю на тёрке сыр. Теперь добавляем в наш соус яйцо и хорошенько перемешиваем. Выливаем наш соус в курицу, добавляем туда 1/3 натёртого сыра и всё перемешиваем. Хотелось бы заметить: в этом блюде чем больше сыра, тем вкуснее. Затем посыпаем нашу курицу оставшимся сыром и отправляем в нагретую духовку. Выпекаем до превращения сыра в золотую корочку. Чем выше температура духовки, тем быстрее приготовится блюдо."
"Суп ""Весенняя фрикаделька""","['Фарш мясной', 'Морковь', 'Картофель', 'Горошек зеленый', 'Лук-порей']","1. В кипящую воду положить постепенно по 1 шт фрикадельки. 2. Минут через 15 добавить натертую на мелкой терке морковь. 3. Минут через 10 добавить порезанный на кубики картофель. Добавить соль по вкусу. 4. Когда картофель будет почти готов - добавить зеленый горошек и варить еще минут 5. 5. Добавить нарезанный полукольцами лук-порей, варить еще пару минут. Приятного аппетита!"
Курица в луковом соусе с кукурузой и картофелем,"['Филе куриное', 'Лук белый', 'Масло растительное', 'Кукуруза', 'Лук зеленый', 'Сметана', 'Тимьян', 'Картофель', 'Соль', 'Мука пшеничная']","Поставьте вариться очищенный картофель (посолите). Разогрейте в глубокой сковороде растительное масло. У меня здесь половинная порция и сковородка маленькая. На среднем огне обжарьте лук до золотистого цвета. Добавьте куриное филе и обжарьте, помешивая, в течение 3 минут. Разведите муку в 400 мл. воды и вылейте в сковороду. Проварите, помешивая до загустения. Добавьте тимьян и посолите по вкусу. Добавьте кукурузу и варите еще несколько минут. В конце добавьте сметану, размешайте и снимите с огня. Сваренный картофель нужно потолочь. При желании добавьте немного растительного масла. Подавать можно в классическом виде: картофель + курица с соусом и посыпать зеленым луком. А можно разложить курицу с соусом по формам, поспать зеленым луком, Сверху выложить слой толченого картофеля и поставить в разогретую до максимума духовку на 5 минут, или под гриль. Приятного аппетита!"
